CustomerID,Region,Category,Product,Quantity,Price,Sales,Profit,Discount,OrderDate,PaymentMethod,CustomerRating
CUST1000,North,Electronics,Headphones,4,115.49,461.96,108.15,0.12,2023-06-28,UPI,1
CUST1001,North,Furniture,Table,9,303.0,2727.0,518.98,0.04,2025-05-09,Cash,1
CUST1002,South,Beauty,Facewash,6,142.55,855.3,88.8,0.02,2024-11-20,NetBanking,1
CUST1003,East,Clothing,Jacket,1,366.22,366.22,67.41,0.02,2025-02-14,Cash,5
CUST1004,East,Sports,Tennis Racket,2,27.68,55.36,5.92,0.2,2024-08-15,Card,1
CUST1005,West,Clothing,Shoes,6,85.51,513.06,71.22,0.14,2024-06-30,UPI,5
CUST1006,South,Sports,Tennis Racket,3,233.82,701.46,82.41,0.14,2024-03-25,UPI,2
CUST1007,North,Clothing,Shoes,5,37.76,188.8,52.54,0.04,2024-10-06,NetBanking,4
CUST1008,West,Furniture,Sofa,3,127.08,381.24,72.57,0.15,2024-06-22,NetBanking,5
CUST1009,West,Clothing,Jeans,3,257.22,771.66,56.12,0.17,2023-04-07,Card,2
CUST1010,West,Sports,Football,7,193.9,1357.3,405.87,0.19,2024-05-29,UPI,1
CUST1011,Central,Clothing,Jacket,2,150.28,300.56,26.91,0.19,2023-01-07,Cash,5
CUST1012,South,Sports,Football,5,421.63,2108.15,372.96,0.03,2024-02-12,Card,5
CUST1013,Central,Electronics,Headphones,8,14.64,117.12,33.06,0.05,2024-09-21,Card,5
CUST1014,North,Electronics,Camera,2,489.1,978.2,179.18,0.03,2023-09-15,NetBanking,5
CUST1015,South,Clothing,Shoes,4,464.81,1859.24,444.02,0.14,2024-02-16,NetBanking,3
CUST1016,West,Sports,Jersey,2,127.71,255.42,16.86,0.12,2023-02-13,Card,5
CUST1017,South,Electronics,Mobile,1,118.33,118.33,32.7,0.01,2024-11-07,Card,3
CUST1018,West,Furniture,Table,10,290.22,2902.2,321.42,0.16,2025-08-26,Card,1
CUST1019,North,Beauty,Facewash,6,214.67,1288.02,214.79,0.13,2023-04-21,UPI,1
CUST1020,West,Beauty,Lipstick,2,128.08,256.16,24.99,0.03,2025-07-07,Card,3
CUST1021,West,Furniture,Chair,8,404.97,3239.76,855.27,0.01,2023-07-20,UPI,1
CUST1022,South,Furniture,Cupboard,8,243.27,1946.16,518.0,0.03,2023-05-01,UPI,4
CUST1023,East,Grocery,Snacks,7,349.81,2448.67,569.63,0.03,2025-09-23,Cash,2
CUST1024,North,Sports,Football,6,33.3,199.8,39.17,0.18,2025-10-26,Card,1
CUST1025,Central,Electronics,Laptop,2,299.54,599.08,131.08,0.08,2024-04-26,Card,5
CUST1026,Central,Electronics,Mobile,7,330.4,2312.8,442.45,0.19,2024-10-09,Card,3
CUST1027,South,Clothing,Shoes,3,337.49,1012.47,126.56,0.19,2024-10-09,UPI,1
CUST1028,West,Sports,Football,2,271.13,542.26,95.69,0.19,2023-09-29,UPI,2
CUST1029,East,Clothing,Jeans,8,417.7,3341.6,754.82,0.13,2023-01-17,Cash,1
CUST1030,South,Clothing,T-Shirt,2,372.5,745.0,66.2,0.12,2024-07-31,Cash,2
CUST1031,East,Sports,Jersey,5,453.14,2265.7,592.54,0.13,2023-07-09,Cash,1
CUST1032,North,Clothing,Jeans,5,84.98,424.9,68.18,0.11,2025-05-25,UPI,1
CUST1033,South,Sports,Football,6,293.34,1760.04,153.16,0.01,2023-09-19,Cash,1
CUST1034,East,Furniture,Table,2,180.07,360.14,68.42,0.19,2025-04-12,Card,2
CUST1035,South,Furniture,Cupboard,1,93.78,93.78,26.36,0.16,2025-04-23,Card,3
CUST1036,South,Beauty,Cream,7,436.72,3057.04,809.04,0.04,2024-03-31,NetBanking,3
CUST1037,East,Furniture,Table,1,331.72,331.72,49.63,0.17,2024-07-24,Cash,3
CUST1038,Central,Grocery,Snacks,1,62.09,62.09,18.17,0.12,2024-01-01,Cash,1
CUST1039,North,Sports,Jersey,6,365.63,2193.78,281.72,0.02,2025-11-13,Card,3
CUST1040,North,Beauty,Facewash,1,262.36,262.36,66.02,0.07,2024-02-08,UPI,3
CUST1041,Central,Clothing,T-Shirt,5,256.03,1280.15,277.44,0.08,2024-10-30,Cash,5
CUST1042,South,Furniture,Cupboard,7,340.27,2381.89,656.69,0.08,2024-09-08,UPI,3
CUST1043,East,Furniture,Cupboard,10,305.3,3053.0,398.61,0.09,2025-06-23,Card,5
CUST1044,West,Beauty,Perfume,2,145.47,290.94,62.83,0.02,2024-11-17,Card,3
CUST1045,South,Furniture,Table,1,27.88,27.88,8.25,0.09,2023-05-30,Card,4
CUST1046,West,Grocery,Oil,3,329.75,989.25,50.83,0.16,2023-08-07,Card,2
CUST1047,Central,Grocery,Rice,9,128.35,1155.15,302.75,0.03,2025-07-23,NetBanking,5
CUST1048,Central,Sports,Shoes,8,308.26,2466.08,566.75,0.09,2025-10-30,NetBanking,2
CUST1049,West,Grocery,Snacks,4,420.73,1682.92,200.82,0.13,2025-09-19,Cash,4
CUST1050,North,Beauty,Lipstick,4,139.5,558.0,72.5,0.03,2023-06-15,Card,4
CUST1051,South,Beauty,Perfume,2,210.36,420.72,55.84,0.08,2025-08-12,Card,4
CUST1052,West,Sports,Football,10,193.29,1932.9,99.49,0.06,2024-12-21,NetBanking,4
CUST1053,Central,Beauty,Perfume,8,113.61,908.88,144.47,0.08,2023-03-01,NetBanking,2
CUST1054,West,Furniture,Chair,7,297.99,2085.93,450.04,0.13,2023-06-21,Card,4
CUST1055,South,Electronics,Headphones,7,167.04,1169.28,191.38,0.15,2024-11-22,NetBanking,3
CUST1056,West,Clothing,T-Shirt,8,14.59,116.72,21.58,0.04,2024-12-17,UPI,1
CUST1057,North,Furniture,Table,1,312.56,312.56,34.27,0.13,2025-08-27,Card,4
CUST1058,East,Clothing,Jeans,10,305.59,3055.9,724.19,0.16,2023-08-23,Card,3
CUST1059,North,Sports,Football,5,290.02,1450.1,401.69,0.08,2025-02-07,Card,1
CUST1060,Central,Beauty,Perfume,2,350.11,700.22,87.8,0.16,2023-09-05,UPI,3
CUST1061,Central,Grocery,Snacks,2,255.45,510.9,69.13,0.16,2025-05-10,UPI,4
CUST1062,East,Beauty,Facewash,3,220.57,661.71,154.48,0.12,2024-07-07,NetBanking,4
CUST1063,West,Beauty,Lipstick,6,426.6,2559.6,659.56,0.06,2023-06-27,NetBanking,2
CUST1064,West,Sports,Jersey,6,19.21,115.26,30.28,0.1,2024-01-08,Cash,3
CUST1065,East,Clothing,Jacket,9,10.02,90.18,25.88,0.05,2023-06-25,NetBanking,4
CUST1066,Central,Furniture,Cupboard,8,226.85,1814.8,98.56,0.04,2024-08-25,Card,3
CUST1067,Central,Clothing,Shoes,9,267.81,2410.29,376.91,0.07,2024-11-08,NetBanking,3
CUST1068,East,Clothing,Jeans,2,362.04,724.08,93.32,0.04,2024-01-15,NetBanking,3
