Country,Date,Confirmed_Cases,Recovered_Cases,Deaths,Active_Cases,Tests_Conducted,Vaccinated,Gender
Italy,2020-03-01,220511,79817,1751,166179,670416,411961,Other
Brazil,2020-03-02,19970,97879,5605,132361,291524,251924,Male
Canada,2020-03-03,427894,419880,2422,196783,813467,259153,Other
Germany,2020-03-04,203296,429524,7120,126995,818052,290372,Other
Italy,2020-03-05,248783,42128,8902,45322,938381,249430,Male
UK,2020-03-06,234777,368482,5320,89443,257553,427737,Male
Italy,2020-03-07,26890,83574,6610,61262,449532,122788,Other
Canada,2020-03-08,118974,227695,5388,146520,720401,97239,Female
Germany,2020-03-09,287533,12269,3994,120080,380504,26928,Other
Brazil,2020-03-10,448445,262429,8681,56553,54352,280466,Other
Canada,2020-03-11,224886,305123,8045,137760,425127,450930,Other
Canada,2020-03-12,487562,127359,8239,6620,164856,350040,Other
UK,2020-03-13,15585,329638,4874,68835,4191,62292,Male
France,2020-03-14,306726,139689,4807,9160,951664,29055,Other
Germany,2020-03-15,86288,364028,8593,79191,877968,305035,Female
USA,2020-03-16,4848,196563,5914,12165,629864,81912,Male
Canada,2020-03-17,217941,346749,7125,39112,196713,137660,Female
France,2020-03-18,140607,335892,3158,22961,443939,352680,Female
USA,2020-03-19,265953,386644,391,104111,4631,268448,Female
Germany,2020-03-20,124061,248370,4431,32606,138244,7345,Female
India,2020-03-21,30455,136537,8821,128385,305224,160372,Male
France,2020-03-22,186943,167281,7687,2019,221169,417475,Male
Australia,2020-03-23,451115,43975,4233,43803,615641,91006,Female
India,2020-03-24,406432,137073,8008,135592,414497,481769,Female
UK,2020-03-25,156642,87438,1522,121913,553959,408568,Male
Italy,2020-03-26,173516,8057,9019,10275,648099,129350,Male
Brazil,2020-03-27,305162,257852,1501,123058,707791,164437,Male
Australia,2020-03-28,314468,435098,6738,154318,222972,281590,Other
UK,2020-03-29,39398,58646,3295,105873,778499,264480,Other
Germany,2020-03-30,342463,383295,5086,13719,390878,324176,Other
UK,2020-03-31,61729,423789,2420,168502,749321,206487,Female
Italy,2020-04-01,328284,351055,9127,124448,509679,97852,Other
Germany,2020-04-02,492834,255316,3043,110727,422818,492092,Female
Australia,2020-04-03,231007,348934,4498,48370,745149,138593,Female
Italy,2020-04-04,290260,15574,1467,178536,838831,202779,Other
USA,2020-04-05,24060,412548,3562,146699,679832,154553,Female
Brazil,2020-04-06,295835,155052,615,125404,705590,280618,Other
Australia,2020-04-07,214020,393343,5393,88059,992120,177832,Other
USA,2020-04-08,365577,125551,7694,186531,8099,317862,Male
Australia,2020-04-09,242904,282805,9375,28675,774974,306773,Other
Germany,2020-04-10,377065,148106,3224,24139,419647,45232,Male
USA,2020-04-11,460957,14110,7139,36537,581780,348688,Other
Brazil,2020-04-12,298639,214107,2668,196960,97722,460385,Other
Italy,2020-04-13,129795,305497,7981,110498,966188,259013,Male
Canada,2020-04-14,416016,190329,131,50188,555399,312813,Male
UK,2020-04-15,296864,206168,2984,173945,64936,209093,Other
India,2020-04-16,234386,160409,4279,168330,678974,331328,Female
Brazil,2020-04-17,128248,39761,7127,54111,224332,179017,Male
USA,2020-04-18,282803,143076,8231,161781,960495,13140,Female
Canada,2020-04-19,486361,335534,7695,101426,726836,388612,Female
Brazil,2020-04-20,355640,218184,6641,163012,774319,83457,Female
USA,2020-04-21,192814,103024,5469,79184,324064,14357,Male
France,2020-04-22,207711,149696,921,47105,488510,111672,Female
France,2020-04-23,283976,402450,7565,19558,64530,330817,Male
Brazil,2020-04-24,259847,150218,8685,173409,430440,121673,Female
France,2020-04-25,91462,67778,9324,158106,270932,65633,Other
