Customer ID,Gender,Age,Region,Customer Segment,Purchase Frequency,Avg Purchase Value (₹),Total Spent (₹),Satisfaction Score,Last Purchase Date,Churn Status
CUST1000,Other,27,East,New,18,8343,150174,1.46,2023-01-01,Active
CUST1001,Male,36,North,Regular,18,14710,264780,1.6,2023-01-02,Churned
CUST1002,Other,49,South,Premium,14,16956,237384,1.9,2023-01-03,Active
CUST1003,Other,18,South,Premium,15,10606,159090,2.0,2023-01-04,Active
CUST1004,Male,22,West,Regular,12,5689,68268,4.4,2023-01-05,Active
CUST1005,Male,62,South,New,4,2972,11888,3.24,2023-01-06,Active
CUST1006,Other,21,North,Regular,3,17591,52773,3.09,2023-01-07,Churned
CUST1007,Female,33,South,New,12,18688,224256,1.46,2023-01-08,Active
CUST1008,Other,41,East,Premium,7,7204,50428,4.44,2023-01-09,Churned
CUST1009,Other,33,East,New,11,4213,46343,3.89,2023-01-10,Inactive
CUST1010,Other,19,West,Loyal,1,5551,5551,1.27,2023-01-11,Churned
CUST1011,Other,45,North,Premium,6,11256,67536,3.83,2023-01-12,Churned
CUST1012,Male,49,East,Loyal,15,2975,44625,3.17,2023-01-13,Active
CUST1013,Other,44,East,Regular,15,4110,61650,1.33,2023-01-14,Inactive
CUST1014,Female,37,North,Regular,19,4755,90345,2.83,2023-01-15,Inactive
CUST1015,Male,41,South,Regular,11,14984,164824,2.94,2023-01-16,Inactive
CUST1016,Female,29,South,New,2,2235,4470,1.66,2023-01-17,Inactive
CUST1017,Female,52,West,Premium,14,8758,122612,4.78,2023-01-18,Churned
CUST1018,Female,50,South,Regular,2,8479,16958,4.4,2023-01-19,Inactive
CUST1019,Female,50,North,Regular,4,2928,11712,3.68,2023-01-20,Churned
CUST1020,Male,60,East,Premium,17,12845,218365,2.85,2023-01-21,Churned
CUST1021,Male,54,South,Regular,3,7926,23778,2.65,2023-01-22,Churned
CUST1022,Female,29,West,Loyal,13,9033,117429,3.6,2023-01-23,Inactive
CUST1023,Female,20,South,Premium,9,5749,51741,3.18,2023-01-24,Active
CUST1024,Male,18,North,Premium,7,19701,137907,1.25,2023-01-25,Active
CUST1025,Male,50,West,Premium,15,10186,152790,3.05,2023-01-26,Inactive
CUST1026,Male,57,South,Loyal,11,14609,160699,4.23,2023-01-27,Active
CUST1027,Other,27,West,Premium,2,1161,2322,2.84,2023-01-28,Active
CUST1028,Other,60,North,Loyal,15,12575,188625,1.21,2023-01-29,Churned
CUST1029,Other,61,East,Premium,14,15288,214032,4.15,2023-01-30,Churned
CUST1030,Female,46,North,New,11,10560,116160,1.81,2023-01-31,Inactive
CUST1031,Other,30,North,Regular,3,16336,49008,2.03,2023-02-01,Inactive
CUST1032,Female,29,North,New,17,11026,187442,1.66,2023-02-02,Active
CUST1033,Female,48,North,Regular,12,3874,46488,2.32,2023-02-03,Churned
CUST1034,Other,63,East,Loyal,15,707,10605,4.03,2023-02-04,Inactive
CUST1035,Female,19,East,New,16,3165,50640,3.08,2023-02-05,Inactive
CUST1036,Other,52,West,Premium,5,19377,96885,1.82,2023-02-06,Inactive
CUST1037,Other,40,South,Regular,6,1132,6792,4.51,2023-02-07,Inactive
CUST1038,Male,34,East,Regular,19,3583,68077,4.52,2023-02-08,Inactive
CUST1039,Other,43,East,New,5,14211,71055,4.48,2023-02-09,Inactive
CUST1040,Male,25,South,Loyal,3,10623,31869,1.96,2023-02-10,Active
CUST1041,Other,46,East,New,1,7623,7623,2.8,2023-02-11,Churned
CUST1042,Other,43,North,Loyal,6,11254,67524,4.94,2023-02-12,Churned
CUST1043,Male,27,North,Loyal,15,2179,32685,4.09,2023-02-13,Inactive
CUST1044,Male,43,South,Regular,2,16401,32802,1.11,2023-02-14,Churned
CUST1045,Other,51,West,New,3,736,2208,1.26,2023-02-15,Churned
CUST1046,Female,58,West,New,17,7946,135082,2.86,2023-02-16,Churned
CUST1047,Male,24,South,Loyal,12,4943,59316,4.64,2023-02-17,Inactive
CUST1048,Female,21,South,New,18,15963,287334,3.15,2023-02-18,Inactive
CUST1049,Female,62,North,Premium,15,9055,135825,2.99,2023-02-19,Churned
CUST1050,Female,28,West,Premium,12,19252,231024,1.42,2023-02-20,Churned
