Transaction_ID,Date,Department,Expense_Category,Transaction_Type,Amount,Payment_Method,Status,Tax_Percent,Approved_By,Tax_Amount,Total_Amount
TXN1000,2024-01-01,Operations,Travel,Debit,10768.28,Card,Completed,5,CFO,538.41,11306.69
TXN1001,2024-01-02,Finance,Software,Debit,16114.62,Cash,Failed,18,Manager C,2900.63,19015.25
TXN1002,2024-01-03,IT,Software,Debit,19589.16,Cash,Completed,5,Manager A,979.46,20568.62
TXN1003,2024-01-04,Finance,Utilities,Debit,16875.88,Card,Pending,18,CFO,3037.66,19913.54
TXN1004,2024-01-05,Finance,,Debit,17406.38,,Completed,5,Manager C,870.32,18276.7
TXN1005,2024-01-06,HR,Salaries,Credit,8455.7,Cheque,Completed,5,CFO,422.78,8878.48
TXN1006,2024-01-07,IT,Salaries,Debit,11258.59,Cash,Completed,12,Manager A,1351.03,12609.62
TXN1007,2024-01-08,IT,Software,Debit,5450.83,Online Transfer,Pending,5,Manager C,272.54,5723.37
TXN1008,2024-01-09,IT,Utilities,Debit,4324.21,Card,Completed,12,Manager A,518.91,4843.12
TXN1009,2024-01-10,Finance,Training,Credit,10357.4,,Completed,12,Manager C,1242.89,11600.29
TXN1010,2024-01-11,Operations,Salaries,Debit,12103.46,Online Transfer,Failed,12,Manager B,1452.42,13555.88
TXN1011,2024-01-12,IT,Training,Debit,7115.79,Cash,Completed,18,Manager C,1280.84,8396.63
TXN1012,2024-01-13,Marketing,Maintenance,Credit,11604.15,Cheque,Completed,18,CFO,2088.75,13692.9
TXN1013,2024-01-14,Finance,,Debit,17805.48,Card,Completed,18,Manager C,3204.99,21010.47
TXN1014,2024-01-15,HR,Salaries,Credit,11356.07,Online Transfer,Failed,18,Manager A,2044.09,13400.16
TXN1015,2024-01-16,Operations,Supplies,Credit,14555.86,Card,Completed,5,Manager A,727.79,15283.65
TXN1016,2024-01-17,Marketing,Salaries,Credit,16203.64,Cash,Pending,5,Manager C,810.18,17013.82
TXN1017,2024-01-18,Marketing,Travel,Credit,19780.21,Online Transfer,Pending,18,CFO,3560.44,23340.65
TXN1018,2024-01-19,HR,Utilities,Credit,12262.35,Cash,Completed,5,Manager B,613.12,12875.47
TXN1019,2024-01-20,Operations,Utilities,Debit,16233.58,Cash,Completed,5,CFO,811.68,17045.26
TXN1020,2024-01-21,Finance,Training,Credit,19271.66,Cheque,Completed,12,,2312.6,21584.26
TXN1021,2024-01-22,Sales,Maintenance,Credit,18915.99,Card,Completed,12,Manager A,2269.92,21185.91
TXN1022,2024-01-23,Operations,Salaries,Debit,3251.1,Online Transfer,Pending,12,CFO,390.13,3641.23
TXN1023,2024-01-24,HR,,Credit,8424.65,Cash,Pending,12,Manager B,1010.96,9435.61
TXN1024,2024-01-25,Marketing,Training,Debit,6817.81,Cash,Completed,5,Manager C,340.89,7158.7
TXN1025,2024-01-26,Finance,Supplies,Debit,2195.04,Online Transfer,Completed,18,Manager A,395.11,2590.15
TXN1026,2024-01-27,Operations,Training,Debit,12848.2,Cash,Completed,5,Manager C,642.41,13490.61
