TicketID,CreatedDate,Priority,Category,Subcategory,AffectedSystem,Location,AssignedTo,Status,ChangeRequest,KB_Article,ResolvedDate,ResolutionTimeHours,SLA_Breach,Impact,Customer,DowntimeMinutes,RootCause,Comments,Cost(USD),Week_Start_Date,Month,Year
TKT0001,2025-10-16 03:01:47,Medium,Database,Performance,Payments,Pune,Team-DBA,Resolved,Yes,KB-0028,2025-10-16 12:02:22,9.01,No,Medium,External,5,Code Bug,,339.52,2025-10-13,2025-10,2025
TKT0002,2025-10-27 22:34:26,High,Hardware,Power,Auth-Service,Bengaluru,Karan L.,Resolved,No,KB-0098,2025-10-28 06:27:14,7.88,No,Low,Internal,0,Expired Cert,,705.26,2025-10-27,2025-10,2025
TKT0003,2024-12-18 19:16:51,Critical,Security,Malware,Payments,Kolkata,Priya S.,In Progress,No,KB-0080,,,Yes,High,Partner,4,Code Bug,,1120.98,2024-12-16,2024-12,2024
TKT0004,2024-03-12 01:42:14,Low,Network,Router,Payments,Kolkata,Saurabh D.,Resolved,No,KB-0021,2024-03-13 10:16:43,32.57,No,Low,Partner,0,Human Error,,0.0,2024-03-11,2024-03,2024
TKT0005,2025-09-15 20:10:34,Medium,Database,Backup,Search,Delhi,Team-NetOps,Resolved,No,KB-0099,2025-09-16 14:20:47,18.17,No,Low,Internal,0,Expired Cert,,0.0,2025-09-15,2025-09,2025
TKT0006,2025-02-14 08:04:13,Low,Hardware,CPU,Email,Hyderabad,Isha T.,Resolved,No,KB-0059,2025-02-15 19:08:41,35.07,No,Low,External,1,Unknown,,0.0,2025-02-10,2025-02,2025
TKT0007,2025-07-05 08:47:37,Medium,Hardware,Power,Email,Hyderabad,Amit M.,Resolved,Yes,KB-0007,2025-07-05 22:39:23,13.86,No,Low,Internal,1,Hardware Failure,,0.0,2025-06-30,2025-07,2025
TKT0008,2025-09-02 02:24:24,Medium,Security,Malware,API-Gateway,Mumbai,Priya S.,In Progress,No,KB-0035,,,Yes,High,Partner,5,Human Error,,1187.85,2025-09-01,2025-09,2025
TKT0009,2024-10-27 13:10:29,Critical,Cloud,IAM,API-Gateway,Bengaluru,Team-NetOps,Closed,No,KB-0039,2024-10-27 16:51:48,3.69,No,Medium,Internal,3,Capacity,,85.27,2024-10-21,2024-10,2024
TKT0010,2025-01-17 05:34:49,Low,Network,Firewall,Analytics,Mumbai,Priya S.,Closed,No,KB-0040,2025-01-19 20:08:55,62.57,No,Low,External,0,Human Error,,394.67,2025-01-13,2025-01,2025
TKT0011,2024-03-28 23:31:52,High,Storage,Snapshot,Data-Warehouse,Bengaluru,Isha T.,Closed,No,KB-0068,2024-03-29 04:13:45,4.7,No,Medium,Internal,8,Unknown,,0.0,2024-03-25,2024-03,2024
TKT0012,2024-07-24 22:19:25,Low,Cloud,Autoscale,Analytics,Remote,Priya S.,Resolved,Yes,KB-0003,2024-07-25 16:33:26,18.23,No,Low,Internal,1,Config Change,,0.0,2024-07-22,2024-07,2024
TKT0013,2024-03-13 22:40:03,High,Network,Firewall,Payments,Hyderabad,Saurabh D.,In Progress,No,KB-0017,,,Yes,Medium,External,4,Power Outage,,491.06,2024-03-11,2024-03,2024
TKT0014,2024-09-05 15:51:26,High,Network,WAN,Email,Kolkata,Karan L.,Resolved,No,KB-0087,2024-09-06 00:12:48,8.36,Yes,Medium,Internal,3,Hardware Failure,,643.87,2024-09-02,2024-09,2024
TKT0015,2024-12-13 03:15:12,High,Security,Vulnerability,Search,Bengaluru,Saurabh D.,Resolved,No,KB-0010,2024-12-13 15:58:47,12.73,Yes,High,External,3,Human Error,,1589.86,2024-12-09,2024-12,2024
TKT0016,2024-02-21 20:34:53,Critical,Network,Router,Data-Warehouse,Kolkata,Isha T.,Resolved,No,KB-0008,2024-02-21 23:49:44,3.25,No,Low,Partner,2,Third-party,,0.0,2024-02-19,2024-02,2024
TKT0017,2025-04-10 09:27:44,Low,Storage,Snapshot,Analytics,Bengaluru,Neha P.,Resolved,No,KB-0075,2025-04-13 09:24:42,71.95,No,Low,Partner,2,Config Change,,1886.15,2025-04-07,2025-04,2025
TKT0018,2024-02-21 18:30:32,Low,Hardware,Disk,Auth-Service,Pune,Amit M.,Resolved,Yes,KB-0031,2024-02-23 02:38:20,32.13,No,High,External,1,Code Bug,,539.8,2024-02-19,2024-02,2024
TKT0019,2025-08-15 19:02:39,High,Cloud,IAM,Email,Delhi,Neha P.,In Progress,No,KB-0034,,,Yes,Low,External,0,Third-party,,0.0,2025-08-11,2025-08,2025
TKT0020,2025-04-13 10:59:48,Low,Network,WAN,Payments,Pune,Team-NetOps,Resolved,No,KB-0045,2025-04-15 03:55:04,40.92,No,High,Partner,5,Third-party,,1521.25,2025-04-07,2025-04,2025
