Order_ID,Product_ID,Seller_ID,Category,City,State,Order_Date,Quantity,Unit_Price,Discount,Final_Amount,Payment_Mode,Order_Status
ORD100000,PRD2824,SEL427,Beauty,Kolkata,Delhi,2024-12-21,4,1480,339,5581,Credit Card,Delivered
ORD100001,PRD1409,SEL653,Beauty,Kolkata,Delhi,2024-06-10,3,1624,59,4813,Net Banking,In Transit
ORD100002,PRD5506,SEL182,Home & Kitchen,Jaipur,Rajasthan,2024-07-30,1,1068,265,803,COD,Cancelled
ORD100003,PRD5012,SEL241,Home & Kitchen,Jaipur,Rajasthan,2024-05-16,5,836,474,3706,COD,Delivered
ORD100004,PRD4657,SEL254,Electronics,Chennai,West Bengal,2024-11-18,5,1280,363,6037,COD,In Transit
ORD100005,PRD3286,SEL336,Fashion,Bangalore,Rajasthan,2024-02-17,2,764,236,1292,Debit Card,Returned
ORD100006,PRD2679,SEL492,Beauty,Kolkata,Karnataka,2024-07-31,4,2234,124,8812,Credit Card,Cancelled
ORD100007,PRD9935,SEL810,Fashion,Chennai,Madhya Pradesh,2024-11-02,5,859,442,3853,Debit Card,Returned
ORD100008,PRD2424,SEL256,Footwear,Jaipur,Karnataka,2024-01-02,3,1522,428,4138,Credit Card,In Transit
ORD100009,PRD7912,SEL823,Home & Kitchen,Hyderabad,Telangana,2024-06-25,3,1845,233,5302,Net Banking,In Transit
ORD100010,PRD1520,SEL319,Beauty,Indore,Madhya Pradesh,2024-04-29,4,478,162,1750,UPI,In Transit
ORD100011,PRD1488,SEL165,Footwear,Pune,Maharashtra,2024-01-19,2,2357,494,4220,Credit Card,Delivered
ORD100012,PRD2535,SEL524,Electronics,Indore,Karnataka,2024-09-26,4,362,369,1079,COD,In Transit
ORD100013,PRD4582,SEL517,Fashion,Pune,West Bengal,2024-05-15,3,1928,332,5452,Credit Card,Returned
ORD100014,PRD4811,SEL438,Fashion,Hyderabad,Tamil Nadu,2024-11-16,4,447,316,1472,UPI,Delivered
ORD100015,PRD9279,SEL655,Electronics,Chennai,Delhi,2024-08-10,1,711,227,484,COD,Returned
ORD100016,PRD1434,SEL577,Beauty,Bangalore,Telangana,2024-01-29,3,1768,191,5113,Net Banking,In Transit
ORD100017,PRD4257,SEL525,Fashion,Indore,Telangana,2024-10-16,2,996,89,1903,Credit Card,Cancelled
ORD100018,PRD9928,SEL163,Home & Kitchen,Delhi,Rajasthan,2024-04-28,4,1340,235,5125,Debit Card,Cancelled
ORD100019,PRD7873,SEL311,Home & Kitchen,Indore,Tamil Nadu,2024-02-07,4,1715,300,6560,Credit Card,Returned
ORD100020,PRD4611,SEL952,Electronics,Indore,Maharashtra,2024-04-11,4,2279,54,9062,Net Banking,Returned
ORD100021,PRD8359,SEL530,Beauty,Chennai,Delhi,2024-12-24,3,389,500,667,Net Banking,Delivered
ORD100022,PRD5557,SEL498,Electronics,Pune,Telangana,2024-11-06,4,1472,397,5491,UPI,Returned
