Order_ID,Customer_ID,Product_Name,Category,Quantity,Price,Discount,Revenue,Order_Date,Delivery_Time(mins),City,Delivery_Status,Rating
ORD1001,CUST1614,Coffee,Beverages,4,477.82,14.64,1631.47,2025-07-08,35,Pune,Cancelled,1
ORD1002,CUST1099,Energy Drink,Beverages,2,120.2,1.16,237.61,2025-03-29,131,Pune,Pending,1
ORD1003,CUST1191,Mango,Fruits,3,59.26,19.4,143.29,2025-10-21,144,Bangalore,Pending,4
ORD1004,CUST1560,Soda,Beverages,4,132.53,6.08,497.89,2025-01-22,103,Kolkata,Cancelled,5
ORD1005,CUST1189,Namkeen,Snacks,3,325.33,2.79,948.76,2025-07-07,29,Chennai,Delivered,2
ORD1006,CUST1646,Lotion,Personal Care,3,222.11,19.66,535.33,2025-05-11,65,Hyderabad,Cancelled,2
ORD1007,CUST1013,Apple,Fruits,5,252.72,0.27,1260.19,2025-03-30,74,Kolkata,Pending,1
ORD1008,CUST1955,Butter,Dairy,2,223.44,0.32,445.45,2025-04-02,125,Delhi,Cancelled,4
ORD1009,CUST1931,Coffee,Beverages,4,272.83,0.69,1083.79,2025-07-25,95,Delhi,Pending,2
ORD1010,CUST1771,Banana,Fruits,2,348.14,6.23,652.9,2025-02-23,120,Bangalore,Pending,2
ORD1011,CUST1862,Toothpaste,Personal Care,5,486.31,15.5,2054.66,2025-06-11,28,Delhi,Delivered,3
ORD1012,CUST1878,Energy Drink,Beverages,4,70.35,6.51,263.08,2025-07-27,96,Mumbai,Cancelled,1
ORD1013,CUST1492,Chocolate,Snacks,5,314.04,19.31,1266.99,2025-07-07,138,Pune,Pending,4
ORD1014,CUST1128,Apple,Fruits,1,183.32,3.31,177.25,2025-01-09,102,Pune,Cancelled,2
ORD1015,CUST1674,Tea,Beverages,4,182.07,0.28,726.24,2025-03-22,150,Kolkata,Cancelled,2
ORD1016,CUST1027,Lotion,Personal Care,3,397.07,1.48,1173.58,2025-08-19,55,Delhi,Pending,1
ORD1017,CUST1573,Paneer,Dairy,1,330.48,6.62,308.6,2025-02-17,165,Mumbai,Delivered,2
ORD1018,CUST1942,Butter,Dairy,5,378.32,12.75,1650.42,2025-02-04,115,Mumbai,Pending,5
ORD1019,CUST1870,Chips,Snacks,3,392.35,11.23,1044.87,2025-09-12,156,Delhi,Cancelled,5
ORD1020,CUST1460,Butter,Dairy,3,285.23,8.55,782.53,2025-02-11,138,Hyderabad,Delivered,1
ORD1021,CUST1899,Lotion,Personal Care,3,64.14,12.73,167.92,2025-02-21,110,Kolkata,Cancelled,3
ORD1022,CUST1035,Butter,Dairy,5,162.18,8.21,744.33,2025-06-20,43,Bangalore,Cancelled,4
ORD1023,CUST1577,Carrot,Vegetables,5,84.64,5.8,398.65,2025-03-27,42,Chennai,Pending,2
ORD1024,CUST1027,Shampoo,Personal Care,2,413.65,12.67,722.48,2025-05-14,42,Bangalore,Pending,1
ORD1025,CUST1472,Energy Drink,Beverages,4,133.96,17.85,440.19,2025-05-08,106,Hyderabad,Pending,1
ORD1026,CUST1972,Lotion,Personal Care,1,172.46,12.95,150.13,2025-05-01,130,Chennai,Cancelled,1
ORD1027,CUST1676,Spinach,Vegetables,1,187.15,3.29,180.99,2025-05-17,76,Kolkata,Pending,5
ORD1028,CUST1471,Paneer,Dairy,1,103.94,6.75,96.92,2025-06-09,110,Kolkata,Pending,5
ORD1029,CUST1509,Potato,Vegetables,1,231.73,1.3,228.72,2025-02-21,26,Chennai,Delivered,2
ORD1030,CUST1001,Cookies,Snacks,2,370.52,2.96,719.11,2025-03-22,127,Mumbai,Cancelled,2
ORD1031,CUST1402,Orange,Fruits,2,234.97,0.66,466.84,2025-08-12,143,Bangalore,Cancelled,4
ORD1032,CUST1246,Energy Drink,Beverages,2,288.92,8.96,526.07,2025-07-17,174,Chennai,Delivered,5
ORD1033,CUST1279,Chocolate,Snacks,4,86.38,7.39,319.99,2025-09-12,52,Mumbai,Cancelled,5
ORD1034,CUST1608,Onion,Vegetables,5,334.54,12.67,1460.77,2025-08-28,158,Pune,Delivered,5
ORD1035,CUST1763,Shampoo,Personal Care,1,194.35,3.73,187.1,2025-09-16,162,Pune,Delivered,1
ORD1036,CUST1863,Lotion,Personal Care,3,149.11,14.22,383.72,2025-05-27,162,Bangalore,Delivered,3
ORD1037,CUST1871,Onion,Vegetables,4,473.24,7.95,1742.47,2025-02-08,96,Kolkata,Pending,5
ORD1038,CUST1989,Soap,Personal Care,1,354.06,14.7,302.01,2025-05-31,173,Kolkata,Delivered,2
ORD1039,CUST1880,Cheese,Dairy,2,166.07,13.2,288.3,2025-04-22,74,Delhi,Pending,3
ORD1040,CUST1008,Spinach,Vegetables,2,498.31,19.31,804.17,2025-02-06,174,Chennai,Cancelled,5
ORD1041,CUST1151,Onion,Vegetables,1,207.14,14.52,177.06,2025-05-11,162,Hyderabad,Pending,3
ORD1042,CUST1253,Mango,Fruits,1,338.91,1.68,333.22,2025-04-14,98,Kolkata,Pending,3
ORD1043,CUST1913,Orange,Fruits,3,217.53,18.8,529.9,2025-06-02,107,Bangalore,Pending,2
ORD1044,CUST1579,Energy Drink,Beverages,2,268.53,8.97,488.89,2025-06-18,175,Kolkata,Delivered,2
ORD1045,CUST1639,Juice,Beverages,1,272.25,3.58,262.5,2025-05-15,159,Kolkata,Pending,5
ORD1046,CUST1037,Orange,Fruits,1,294.14,10.18,264.2,2025-01-22,172,Chennai,Pending,4
ORD1047,CUST1797,Banana,Fruits,5,269.03,18.12,1101.41,2025-01-27,35,Mumbai,Delivered,5
ORD1048,CUST1515,Popcorn,Snacks,1,309.61,9.85,279.11,2025-10-31,161,Hyderabad,Delivered,4
ORD1049,CUST1476,Soap,Personal Care,3,395.85,0.87,1177.22,2025-06-21,172,Hyderabad,Delivered,5
ORD1050,CUST1348,Apple,Fruits,5,447.57,14.95,1903.29,2025-02-06,38,Mumbai,Cancelled,4
ORD1051,CUST1190,Banana,Fruits,1,298.74,11.45,264.53,2025-07-07,130,Hyderabad,Pending,2
ORD1052,CUST1127,Curd,Dairy,5,223.29,17.02,926.43,2025-09-13,81,Pune,Delivered,4
ORD1053,CUST1871,Chocolate,Snacks,2,300.56,18.72,488.59,2025-02-27,81,Pune,Pending,3
ORD1054,CUST1489,Spinach,Vegetables,2,326.75,19.8,524.11,2025-05-07,169,Pune,Cancelled,2
ORD1055,CUST1476,Soda,Beverages,2,195.15,16.97,324.07,2025-10-26,53,Bangalore,Cancelled,2
ORD1056,CUST1505,Milk,Dairy,2,414.21,16.2,694.22,2025-01-13,74,Mumbai,Delivered,1
ORD1057,CUST1653,Chips,Snacks,1,332.55,3.89,319.61,2025-09-21,158,Kolkata,Delivered,2
ORD1058,CUST1050,Spinach,Vegetables,4,448.98,0.55,1786.04,2025-10-15,100,Bangalore,Pending,1
ORD1059,CUST1569,Spinach,Vegetables,1,119.77,19.64,96.25,2025-05-30,72,Pune,Cancelled,3
ORD1060,CUST1992,Face Wash,Personal Care,1,66.81,16.45,55.82,2025-02-23,115,Kolkata,Cancelled,3
ORD1061,CUST1876,Tomato,Vegetables,5,172.19,19.31,694.7,2025-04-13,20,Hyderabad,Cancelled,4
ORD1062,CUST1369,Banana,Fruits,4,235.11,13.99,808.87,2025-05-24,27,Mumbai,Pending,1
ORD1063,CUST1786,Soda,Beverages,4,371.57,0.82,1474.09,2025-04-30,77,Chennai,Delivered,3
ORD1064,CUST1790,Lotion,Personal Care,4,384.82,5.02,1462.01,2025-04-27,76,Mumbai,Cancelled,3
ORD1065,CUST1750,Milk,Dairy,1,359.82,1.16,355.65,2025-05-02,15,Mumbai,Pending,4
ORD1066,CUST1896,Energy Drink,Beverages,2,157.9,1.88,309.86,2025-03-30,131,Chennai,Delivered,1
ORD1067,CUST1246,Popcorn,Snacks,5,382.05,11.09,1698.4,2025-10-05,107,Hyderabad,Delivered,4
ORD1068,CUST1973,Juice,Beverages,3,161.48,7.12,449.95,2025-03-27,43,Delhi,Cancelled,1
ORD1069,CUST1217,Milk,Dairy,4,70.7,0.81,280.51,2025-08-26,158,Chennai,Pending,5
ORD1070,CUST1022,Face Wash,Personal Care,2,271.23,9.47,491.09,2025-10-16,115,Chennai,Pending,1
ORD1071,CUST1761,Spinach,Vegetables,2,327.13,12.7,571.17,2025-10-17,152,Pune,Pending,3
ORD1072,CUST1791,Spinach,Vegetables,3,276.41,17.13,687.18,2025-01-04,30,Bangalore,Cancelled,3
ORD1073,CUST1689,Paneer,Dairy,2,61.93,11.72,109.34,2025-06-01,154,Mumbai,Delivered,5
ORD1074,CUST1267,Juice,Beverages,3,339.48,9.17,925.05,2025-06-28,115,Pune,Pending,1
ORD1075,CUST1284,Tea,Beverages,3,419.19,13.03,1093.71,2025-02-12,58,Delhi,Delivered,1
ORD1076,CUST1726,Juice,Beverages,5,146.57,7.55,677.52,2025-09-10,49,Delhi,Pending,3
ORD1077,CUST1114,Chocolate,Snacks,1,345.08,7.71,318.47,2025-03-31,176,Kolkata,Cancelled,4
ORD1078,CUST1412,Coffee,Beverages,1,273.22,13.86,235.35,2025-04-24,89,Kolkata,Pending,5
ORD1079,CUST1868,Face Wash,Personal Care,4,238.08,19.35,768.05,2025-06-13,152,Bangalore,Pending,5
ORD1080,CUST1977,Cheese,Dairy,1,305.83,11.52,270.6,2025-04-09,50,Kolkata,Delivered,1
ORD1081,CUST1779,Juice,Beverages,1,399.39,6.82,372.15,2025-07-09,51,Mumbai,Pending,2
ORD1082,CUST1880,Grapes,Fruits,1,355.93,14.8,303.25,2025-10-13,31,Bangalore,Pending,5
ORD1083,CUST1176,Tomato,Vegetables,4,421.91,6.4,1579.63,2025-07-06,33,Kolkata,Delivered,4
ORD1084,CUST1454,Energy Drink,Beverages,4,54.88,18.11,179.76,2025-03-17,23,Delhi,Pending,1
ORD1085,CUST1068,Chocolate,Snacks,4,477.53,19.01,1547.01,2025-05-24,131,Chennai,Delivered,4
ORD1086,CUST1143,Popcorn,Snacks,3,321.1,11.07,856.66,2025-02-22,165,Chennai,Delivered,2
ORD1087,CUST1222,Face Wash,Personal Care,1,101.06,18.62,82.24,2025-07-05,156,Kolkata,Pending,3
ORD1088,CUST1657,Onion,Vegetables,2,248.69,17.75,409.1,2025-08-23,89,Mumbai,Pending,3
ORD1089,CUST1173,Chips,Snacks,4,359.61,16.74,1197.65,2025-09-10,21,Delhi,Delivered,5
ORD1090,CUST1193,Toothpaste,Personal Care,5,150.16,7.93,691.26,2025-10-10,136,Mumbai,Delivered,2
ORD1091,CUST1832,Face Wash,Personal Care,5,281.0,4.66,1339.53,2025-05-16,123,Chennai,Cancelled,3
ORD1092,CUST1803,Potato,Vegetables,4,156.51,18.15,512.41,2025-10-28,146,Hyderabad,Cancelled,2
ORD1093,CUST1713,Shampoo,Personal Care,4,87.58,15.54,295.88,2025-07-01,105,Hyderabad,Cancelled,5
ORD1094,CUST1753,Cheese,Dairy,2,198.61,8.69,362.7,2025-06-22,155,Chennai,Delivered,1
ORD1095,CUST1972,Lotion,Personal Care,4,307.16,14.82,1046.56,2025-01-01,145,Bangalore,Pending,4
ORD1096,CUST1057,Orange,Fruits,4,482.98,7.5,1787.03,2025-04-27,148,Delhi,Delivered,3
ORD1097,CUST1079,Toothpaste,Personal Care,4,490.06,11.12,1742.26,2025-10-30,163,Pune,Cancelled,4
ORD1098,CUST1531,Cookies,Snacks,5,496.83,1.48,2447.38,2025-08-15,161,Mumbai,Pending,1
ORD1099,CUST1414,Shampoo,Personal Care,1,285.39,12.59,249.46,2025-01-14,157,Chennai,Delivered,1
ORD1100,CUST1329,Orange,Fruits,1,332.4,11.69,293.54,2025-05-24,26,Pune,Delivered,2
ORD1101,CUST1675,Carrot,Vegetables,4,98.04,6.71,365.85,2025-05-02,106,Mumbai,Pending,4
ORD1102,CUST1040,Namkeen,Snacks,2,224.72,4.59,428.81,2025-01-28,115,Chennai,Cancelled,2
ORD1103,CUST1723,Grapes,Fruits,4,493.79,13.96,1699.43,2025-05-25,175,Hyderabad,Delivered,3
ORD1104,CUST1252,Cookies,Snacks,5,358.13,3.25,1732.45,2025-02-15,49,Mumbai,Delivered,4
ORD1105,CUST1797,Curd,Dairy,2,237.49,11.62,419.79,2025-01-10,70,Kolkata,Pending,4
ORD1106,CUST1064,Cheese,Dairy,2,298.21,3.3,576.74,2025-10-16,132,Hyderabad,Delivered,4
ORD1107,CUST1216,Soda,Beverages,2,494.27,3.01,958.78,2025-10-09,77,Pune,Cancelled,3
ORD1108,CUST1098,Energy Drink,Beverages,3,428.95,16.77,1071.05,2025-04-08,119,Chennai,Cancelled,2
ORD1109,CUST1644,Apple,Fruits,1,56.15,1.51,55.3,2025-07-16,109,Pune,Cancelled,5
ORD1110,CUST1144,Cheese,Dairy,3,299.94,15.38,761.43,2025-06-14,97,Pune,Pending,5
ORD1111,CUST1445,Energy Drink,Beverages,5,252.74,2.58,1231.1,2025-02-20,18,Chennai,Delivered,4
ORD1112,CUST1550,Onion,Vegetables,1,352.27,12.36,308.73,2025-04-05,86,Delhi,Delivered,4
ORD1113,CUST1305,Coffee,Beverages,2,274.17,9.52,496.14,2025-09-16,137,Mumbai,Cancelled,2
