Date,Campaign_Name,Platform,Impressions,Clicks,Spend_INR,Conversions,Revenue_INR,CTR_Percent,Conversion_Rate_Percent
2024-01-01,Festive Sale,LinkedIn,86451,9225,15722,411,110089,4.69,14.29
2024-01-02,App Install,Google Ads,40915,7341,24169,66,177168,6.25,3.48
2024-01-03,Product Launch,Twitter,38219,1024,34568,425,145302,9.23,13.2
2024-01-04,App Install,Instagram,81879,4183,23753,112,161081,3.94,12.15
2024-01-05,App Install,Instagram,65644,5420,9935,13,34866,7.39,10.19
2024-01-06,Lead Generation,Google Ads,61279,4022,29052,393,106400,9.0,9.41
2024-01-07,Product Launch,LinkedIn,54028,5345,37884,420,85246,4.83,4.82
2024-01-08,Product Launch,LinkedIn,1126,9155,16893,86,77975,4.71,12.26
2024-01-09,Product Launch,Twitter,53329,8278,11117,234,173927,6.22,7.57
2024-01-10,App Install,Google Ads,28632,9953,39020,90,82557,6.12,1.16
2024-01-11,Festive Sale,Instagram,66310,3070,10352,314,138488,8.16,4.76
2024-01-12,Product Launch,LinkedIn,56176,9037,31901,54,73516,5.03,14.04
2024-01-13,App Install,Google Ads,87066,4086,6795,12,187987,9.96,12.78
2024-01-14,Lead Generation,LinkedIn,45327,5118,36493,209,150130,1.06,14.73
2024-01-15,Festive Sale,LinkedIn,69904,5283,34584,462,172790,0.53,9.46
2024-01-16,Lead Generation,Instagram,4797,9566,45605,14,33602,6.58,3.79
2024-01-17,Festive Sale,Facebook Ads,48882,367,40075,121,190139,3.34,2.53
2024-01-18,App Install,Twitter,14718,2446,36951,418,159588,2.78,2.89
2024-01-19,Brand Awareness,Twitter,35560,2212,7727,437,130295,3.46,0.39
2024-01-20,Festive Sale,Instagram,77589,2795,32410,377,88969,2.93,5.92
2024-01-21,Lead Generation,LinkedIn,23116,1641,36541,20,133161,0.79,2.95
2024-01-22,App Install,Google Ads,37244,6233,23884,75,169418,9.73,6.23
2024-01-23,Festive Sale,LinkedIn,2645,3980,645,400,142559,2.6,14.03
2024-01-24,Brand Awareness,Instagram,48523,1362,38278,243,1155,7.47,6.52
2024-01-25,Brand Awareness,Twitter,20256,9527,16535,223,124950,7.74,13.18
2024-01-26,Product Launch,LinkedIn,54173,4361,3540,70,68494,9.33,9.12
2024-01-27,Product Launch,Twitter,38430,7364,42922,312,77229,0.79,3.78
2024-01-28,Lead Generation,Google Ads,40282,2433,26660,211,105648,8.78,5.4
2024-01-29,Festive Sale,Twitter,64374,3289,18133,101,39547,5.51,1.35
2024-01-30,Festive Sale,Twitter,69244,2189,29844,186,29795,6.51,5.07
2024-01-31,Product Launch,Facebook Ads,12694,1754,17514,132,187368,6.62,10.2
2024-02-01,Festive Sale,Facebook Ads,57264,6974,15496,111,22447,8.29,1.17
2024-02-02,Festive Sale,Facebook Ads,76060,412,49604,381,168670,3.67,3.16
2024-02-03,Brand Awareness,Twitter,98416,2654,42121,132,173886,7.46,5.78
2024-02-04,Product Launch,Instagram,58545,9958,12195,20,88960,5.52,14.73
2024-02-05,App Install,Twitter,40224,4336,3352,394,64278,8.04,11.79
2024-02-06,Product Launch,Instagram,98945,3788,16514,24,56077,9.91,11.03
2024-02-07,App Install,Instagram,14224,2519,27542,227,113782,2.41,1.83
2024-02-08,Brand Awareness,Facebook Ads,41738,4845,34255,154,103932,9.95,11.74
2024-02-09,Lead Generation,LinkedIn,26150,6200,40890,293,141600,1.35,11.8
2024-02-10,Festive Sale,Google Ads,64731,606,24211,230,182172,0.52,9.06
2024-02-11,Brand Awareness,Facebook Ads,50688,9067,26622,469,110869,0.92,14.86
2024-02-12,Festive Sale,Facebook Ads,74509,2858,9660,310,140251,3.75,4.95
2024-02-13,Lead Generation,LinkedIn,9577,5200,27713,488,49781,6.51,14.12
2024-02-14,Lead Generation,Google Ads,9070,7611,39920,359,187339,1.16,13.73
2024-02-15,Brand Awareness,Twitter,9666,2769,7921,405,156024,0.55,0.27
2024-02-16,Lead Generation,Twitter,58761,6556,21900,202,54798,9.4,6.81
2024-02-17,App Install,Facebook Ads,37368,3791,34037,38,99696,8.31,14.66
2024-02-18,Lead Generation,Google Ads,7783,9816,18227,430,51939,8.19,1.64
2024-02-19,Festive Sale,Facebook Ads,42914,4048,47382,260,30516,8.9,8.26
2024-02-20,Festive Sale,Instagram,71507,2453,4858,188,188598,7.15,14.69
2024-02-21,Festive Sale,Facebook Ads,80026,8830,28982,57,142521,1.49,8.38
2024-02-22,Festive Sale,Facebook Ads,68526,9789,32617,429,51290,4.29,2.93
2024-02-23,App Install,Twitter,71835,344,23664,20,127688,7.37,8.77
2024-02-24,Product Launch,Twitter,46765,5393,32410,273,87661,3.16,3.15
2024-02-25,Brand Awareness,Twitter,20956,9932,32996,119,73954,7.03,7.84
2024-02-26,Festive Sale,Instagram,88895,1186,44811,71,23746,0.73,1.2
2024-02-27,Lead Generation,Twitter,47240,2114,29871,4,68990,3.41,9.12
2024-02-28,Festive Sale,Google Ads,38148,7059,38967,221,59810,5.72,7.8
2024-02-29,Lead Generation,LinkedIn,95270,4593,18125,14,119362,6.5,11.13
2024-03-01,Lead Generation,Google Ads,5757,1057,34393,3,147295,5.98,9.5
2024-03-02,Festive Sale,Google Ads,20097,5495,11293,216,134669,7.13,8.29
2024-03-03,App Install,Twitter,11395,5402,31507,229,197749,0.56,10.38
2024-03-04,Lead Generation,LinkedIn,17241,9489,26266,336,3659,1.46,2.24
2024-03-05,Lead Generation,LinkedIn,28696,1485,40032,186,87516,8.75,8.97
2024-03-06,Festive Sale,LinkedIn,71480,621,12823,55,75567,6.98,2.66
2024-03-07,Lead Generation,Instagram,47163,2432,46299,388,16037,1.57,13.89
2024-03-08,Lead Generation,Twitter,20816,9487,47320,376,127498,8.5,1.12
2024-03-09,Festive Sale,LinkedIn,50840,5134,45908,254,178810,2.8,6.51
2024-03-10,Festive Sale,Instagram,53853,327,8343,24,13109,5.04,10.47
2024-03-11,Brand Awareness,Facebook Ads,25917,7109,14710,162,23010,1.88,6.92
2024-03-12,App Install,Facebook Ads,97731,1937,16956,158,9787,7.25,1.47
2024-03-13,App Install,Instagram,22566,1315,31867,82,140544,6.84,8.35
2024-03-14,Lead Generation,Instagram,76452,7541,10606,403,155455,2.51,9.66
2024-03-15,App Install,Twitter,63823,1090,38457,159,62709,8.7,10.59
2024-03-16,Lead Generation,Twitter,21806,9159,2972,188,35518,4.31,5.66
2024-03-17,Brand Awareness,Facebook Ads,76520,8123,7204,60,54909,3.28,8.5
2024-03-18,Festive Sale,LinkedIn,2759,9127,4213,403,19351,1.95,6.82
2024-03-19,Festive Sale,Facebook Ads,42949,2802,5551,305,185402,3.03,10.11
2024-03-20,Festive Sale,LinkedIn,93374,8263,11256,319,16282,0.71,8.79
2024-03-21,App Install,LinkedIn,3482,4619,2975,366,153850,6.04,7.93
2024-03-22,Brand Awareness,Twitter,25442,6403,36878,211,156336,8.5,3.82
2024-03-23,App Install,Google Ads,34719,2403,4755,406,191747,5.72,0.13
2024-03-24,App Install,Google Ads,59066,7487,14984,152,6075,2.58,2.69
2024-03-25,Brand Awareness,Instagram,94501,4849,35003,109,180526,0.82,1.84
2024-03-26,Brand Awareness,Twitter,3079,736,8758,76,29365,2.54,6.79
2024-03-27,Brand Awareness,LinkedIn,3717,8526,41247,30,180272,4.45,9.22
2024-03-28,Brand Awareness,Google Ads,60676,4861,35696,314,12002,7.72,3.27
2024-03-29,Festive Sale,LinkedIn,28952,9004,45613,486,14947,2.28,14.09
2024-03-30,Product Launch,Google Ads,87444,5396,40694,117,95840,7.34,0.2
2024-03-31,Product Launch,Google Ads,43460,5093,9033,415,117219,8.74,11.61
2024-04-01,Brand Awareness,Google Ads,91397,2478,33081,356,79610,4.81,9.42
2024-04-02,Product Launch,Twitter,73847,5176,5749,192,53142,8.3,5.67
2024-04-03,Product Launch,Facebook Ads,94607,8270,19701,19,57307,5.77,0.85
2024-04-04,Brand Awareness,LinkedIn,90106,9148,10186,432,136565,6.55,9.45
2024-04-05,Product Launch,Twitter,19449,7863,47377,173,51085,5.5,5.85
2024-04-06,App Install,Twitter,34536,9695,32507,228,35228,4.9,14.05
2024-04-07,Lead Generation,Twitter,65077,3406,1161,350,183947,2.73,8.18
2024-04-08,Lead Generation,Twitter,39258,8757,45343,183,163727,3.38,14.1
2024-04-09,Brand Awareness,Twitter,49302,7316,30637,113,44472,3.25,3.39
2024-04-10,Festive Sale,Instagram,29865,6590,48056,183,50437,5.85,10.91
2024-04-11,Brand Awareness,LinkedIn,7645,88,43328,481,181488,1.64,9.3
2024-04-12,Festive Sale,Twitter,39000,3392,49104,146,60711,9.21,11.12
2024-04-13,Lead Generation,LinkedIn,27737,9128,11026,319,138888,7.35,3.3
2024-04-14,Brand Awareness,Instagram,12485,2894,3874,116,78175,4.31,10.01
2024-04-15,App Install,Instagram,39565,1148,26092,113,65307,2.01,7.52
2024-04-16,Product Launch,LinkedIn,26522,7077,29482,251,47733,8.88,11.17
2024-04-17,Festive Sale,Google Ads,66155,1873,707,476,129202,8.33,4.97
2024-04-18,Product Launch,Facebook Ads,56168,3205,35933,251,96028,7.36,13.36
2024-04-19,Product Launch,Google Ads,53487,3143,23697,303,143312,3.08,1.36
2024-04-20,Brand Awareness,Google Ads,13342,5708,33900,459,93493,4.32,12.13
2024-04-21,Product Launch,Google Ads,41806,3828,3583,313,126149,1.48,12.93
2024-04-22,App Install,Twitter,49770,2946,29828,118,164834,2.3,12.28
2024-04-23,Product Launch,Instagram,79623,1038,46979,301,9259,7.94,7.74
2024-04-24,Brand Awareness,Google Ads,76629,4166,43391,161,182211,7.29,6.63
2024-04-25,App Install,Instagram,53603,6496,20603,401,129775,6.14,14.94
2024-04-26,Lead Generation,LinkedIn,82974,4229,40391,198,15849,9.01,3.51
2024-04-27,Product Launch,Facebook Ads,27399,1732,11254,260,82768,6.04,8.25
2024-04-28,Brand Awareness,LinkedIn,86382,5676,34947,148,107108,4.94,10.09
2024-04-29,Lead Generation,LinkedIn,82244,7474,16401,240,90709,3.73,10.54
2024-04-30,Lead Generation,Twitter,77534,983,33504,47,55869,9.43,3.14
2024-05-01,Festive Sale,Facebook Ads,56106,3648,7946,475,127888,1.29,9.84
2024-05-02,App Install,LinkedIn,31678,2030,37711,399,64095,9.34,12.29
2024-05-03,Product Launch,LinkedIn,77218,3106,48731,198,118886,8.35,0.85
2024-05-04,Brand Awareness,Facebook Ads,64230,9034,29801,47,71910,1.73,13.68
2024-05-05,Festive Sale,Facebook Ads,75055,841,26616,78,24567,5.87,0.54
2024-05-06,App Install,LinkedIn,57373,5440,41823,124,36292,8.73,5.4
2024-05-07,Festive Sale,Facebook Ads,32480,6685,19252,75,75813,5.93,0.34
2024-05-08,App Install,LinkedIn,86230,2305,32876,359,98136,9.12,1.25
2024-05-09,App Install,LinkedIn,69836,3660,17169,137,52631,9.46,13.68
2024-05-10,Product Launch,Twitter,73258,1657,33416,90,10885,4.51,5.39
2024-05-11,App Install,Google Ads,40986,5229,13895,400,191731,4.08,6.43
2024-05-12,Festive Sale,LinkedIn,25160,6623,20921,325,186378,9.4,3.31
2024-05-13,App Install,Instagram,86595,1034,26842,61,67314,6.91,9.0
2024-05-14,Product Launch,Google Ads,80111,5826,5395,138,66087,1.6,8.96
2024-05-15,Product Launch,Google Ads,65929,3726,11523,50,161237,0.9,5.65
2024-05-16,Festive Sale,Google Ads,74506,3430,11199,259,191001,5.86,5.06
2024-05-17,Lead Generation,Twitter,35911,8761,10215,461,199100,9.34,13.29
2024-05-18,Lead Generation,LinkedIn,88127,8832,19669,107,96998,8.52,5.81
2024-05-19,App Install,Twitter,32821,1100,16663,113,50812,6.92,7.45
2024-05-20,Brand Awareness,LinkedIn,76039,3683,6282,350,182572,1.82,4.32
2024-05-21,App Install,Twitter,61535,6392,23141,254,59643,2.92,11.82
2024-05-22,Festive Sale,Twitter,85458,1009,19292,118,45900,8.82,6.02
2024-05-23,Festive Sale,Instagram,13175,6109,49992,493,175018,2.24,7.75
2024-05-24,Festive Sale,Twitter,55771,8934,36085,198,139923,3.15,3.88
2024-05-25,Festive Sale,Facebook Ads,87925,5705,31182,337,17288,1.73,14.82
2024-05-26,Festive Sale,Instagram,67358,4523,48364,365,73692,6.92,4.44
2024-05-27,Product Launch,Twitter,18327,2996,19380,51,199652,9.47,11.58
2024-05-28,Lead Generation,Google Ads,48057,7775,38567,245,139440,3.06,6.47
