Order_ID,Order_Date,Customer_ID,Product_Category,Product_Name,Quantity,Price,Payment_Mode,Order_Status,City,Total_Amount
ORD1000,2024-01-01,CUST202,Home & Kitchen,Watch,3,21695,COD,Cancelled,Mumbai,65085
ORD1001,2024-01-02,CUST535,Electronics,Watch,2,12439,COD,Delivered,Mumbai,24878
ORD1002,2024-01-03,CUST960,Fashion,Headphones,3,25838,UPI,Cancelled,Bangalore,77514
ORD1003,2024-01-04,CUST370,Sports,T-shirt,4,22230,Debit Card,Pending,Pune,88920
ORD1004,2024-01-05,CUST206,Fashion,Watch,2,21927,COD,Returned,Hyderabad,43854
ORD1005,2024-01-06,CUST171,Fashion,Shoes,4,35696,Net Banking,Delivered,Delhi,142784
ORD1006,2024-01-07,CUST800,Electronics,Watch,1,27583,COD,Cancelled,Pune,27583
ORD1007,2024-01-08,CUST120,Beauty,Watch,1,22010,Net Banking,Cancelled,Pune,22010
ORD1008,2024-01-09,CUST714,Fashion,Watch,1,44564,UPI,Cancelled,Delhi,44564
ORD1009,2024-01-10,CUST221,Home & Kitchen,Headphones,3,8313,COD,Pending,Bangalore,24939
ORD1010,2024-01-11,CUST566,Beauty,Headphones,2,32098,Net Banking,Pending,Pune,64196
ORD1011,2024-01-12,CUST314,Sports,Mobile,1,47682,UPI,Delivered,Mumbai,47682
ORD1012,2024-01-13,CUST430,Electronics,Headphones,1,28070,Debit Card,Delivered,Delhi,28070
ORD1013,2024-01-14,CUST558,Sports,Shoes,2,27582,Net Banking,Pending,Hyderabad,55164
ORD1014,2024-01-15,CUST187,Beauty,Shoes,1,29741,Debit Card,Delivered,Indore,29741
ORD1015,2024-01-16,CUST472,Beauty,Headphones,4,31178,Debit Card,Returned,Bangalore,124712
ORD1016,2024-01-17,CUST199,Beauty,Mixer,2,45069,Credit Card,Returned,Delhi,90138
ORD1017,2024-01-18,CUST971,Sports,T-shirt,2,12245,COD,Pending,Indore,24490
ORD1018,2024-01-19,CUST763,Beauty,Headphones,2,26529,Net Banking,Delivered,Indore,53058
ORD1019,2024-01-20,CUST230,Sports,Watch,4,13525,Debit Card,Cancelled,Hyderabad,54100
ORD1020,2024-01-21,CUST761,Beauty,Laptop,2,36624,Credit Card,Returned,Pune,73248
ORD1021,2024-01-22,CUST408,Home & Kitchen,T-shirt,4,14788,UPI,Pending,Hyderabad,59152
ORD1022,2024-01-23,CUST869,Beauty,T-shirt,2,24150,Net Banking,Delivered,Pune,48300
ORD1023,2024-01-24,CUST443,Sports,Shoes,3,7040,Debit Card,Pending,Pune,21120
ORD1024,2024-01-25,CUST591,Fashion,T-shirt,1,32732,COD,Cancelled,Delhi,32732
ORD1025,2024-01-26,CUST513,Beauty,Headphones,3,16922,Credit Card,Returned,Delhi,50766
ORD1026,2024-01-27,CUST905,Fashion,Watch,1,3842,Debit Card,Pending,Bangalore,3842
ORD1027,2024-01-28,CUST485,Home & Kitchen,Watch,4,42346,COD,Pending,Pune,169384
ORD1028,2024-01-29,CUST291,Electronics,Mobile,3,36112,Debit Card,Pending,Indore,108336
ORD1029,2024-01-30,CUST376,Home & Kitchen,Watch,2,10896,Net Banking,Cancelled,Mumbai,21792
ORD1030,2024-01-31,CUST260,Beauty,Watch,1,17982,Net Banking,Pending,Bangalore,17982
ORD1031,2024-02-01,CUST559,Fashion,Shoes,1,23911,Net Banking,Cancelled,Delhi,23911
ORD1032,2024-02-02,CUST413,Fashion,Watch,3,47266,Credit Card,Cancelled,Hyderabad,141798
ORD1033,2024-02-03,CUST121,Sports,Mobile,4,13761,Net Banking,Cancelled,Bangalore,55044
ORD1034,2024-02-04,CUST352,Fashion,Laptop,3,3593,COD,Returned,Bangalore,10779
ORD1035,2024-02-05,CUST847,Sports,Headphones,4,12222,Debit Card,Returned,Bangalore,48888
