customer_id,age,gender,city,membership,total_orders,avg_order_value,preferred_cuisine,payment_method,last_order_days_ago,customer_rating
1001,56,Male,Hyderabad,None,184,290.49,Fast Food,UPI,33,2.5
1002,46,Female,Delhi,Pro,171,589.51,Fast Food,UPI,58,2.9
1003,32,Male,Hyderabad,Pro,178,979.85,Fast Food,UPI,40,4.7
1004,25,Male,Mumbai,Gold,151,761.26,Italian,Wallet,28,3.1
1005,38,Male,Bangalore,None,172,865.02,Fast Food,Wallet,8,3.4
1006,56,Male,Delhi,None,38,349.18,Chinese,Wallet,12,2.8
1007,36,Male,Pune,None,84,799.9,Italian,Debit Card,5,3.1
1008,40,Male,Mumbai,Pro,151,489.68,North Indian,Wallet,5,3.8
1009,28,Male,Kolkata,None,128,1026.02,Fast Food,Debit Card,19,4.0
1010,28,Female,Hyderabad,Gold,126,810.76,Fast Food,UPI,51,3.1
1011,41,Male,Kolkata,None,45,358.8,North Indian,UPI,52,2.6
1012,53,Male,Chennai,Gold,52,217.85,Fast Food,UPI,2,3.5
1013,57,Female,Mumbai,Gold,80,194.76,North Indian,Credit Card,16,3.1
1014,41,Female,Kolkata,Pro,178,539.98,Italian,Credit Card,48,3.0
1015,20,Female,Delhi,None,124,429.14,Chinese,Cash on Delivery,11,4.9
1016,39,Male,Hyderabad,None,119,828.39,North Indian,Cash on Delivery,47,4.0
1017,19,Female,Bangalore,None,8,674.3,South Indian,Cash on Delivery,46,3.9
1018,41,Male,Mumbai,Pro,85,429.32,North Indian,Credit Card,44,3.5
1019,47,Male,Delhi,Pro,129,306.7,Fast Food,Credit Card,54,3.6
1020,55,Male,Pune,Gold,8,283.56,Italian,Cash on Delivery,0,3.9
1021,19,Male,Chennai,Gold,157,1057.89,Desserts,Cash on Delivery,16,4.2
1022,38,Female,Hyderabad,Gold,96,405.65,Italian,Wallet,2,4.3
1023,50,Female,Mumbai,None,102,834.3,Desserts,Cash on Delivery,25,2.9
1024,29,Male,Mumbai,Pro,5,1001.22,North Indian,Wallet,14,3.8
1025,39,Male,Bangalore,None,86,794.79,Chinese,Debit Card,35,3.5
1026,42,Male,Bangalore,None,175,1052.54,South Indian,Credit Card,31,4.7
1027,44,Female,Pune,Gold,34,562.01,Italian,Cash on Delivery,31,4.1
1028,59,Male,Chennai,None,193,1154.03,Fast Food,Credit Card,3,3.8
1029,45,Male,Pune,None,55,289.8,Desserts,Credit Card,17,2.8
1030,33,Female,Delhi,Gold,119,257.26,Fast Food,Credit Card,48,4.0
1031,32,Female,Delhi,None,171,841.63,Chinese,Debit Card,18,2.8
1032,20,Male,Pune,Gold,158,1139.97,Desserts,UPI,42,3.3
1033,54,Female,Chennai,None,114,999.33,Italian,Cash on Delivery,51,2.9
1034,24,Female,Pune,None,145,230.24,North Indian,UPI,34,4.2
1035,38,Male,Chennai,None,26,443.34,Fast Food,UPI,39,3.0
